dotnet watch 🔨 2025-03-29 14:58:32.442 [StartupProfiler] Assembly loaded: System.IO.MemoryMappedFiles | Elapsed: 91ms | Delta: 1ms
dotnet watch 🔨 2025-03-29 14:58:32.447 [StartupProfiler] Assembly loaded: Microsoft.Win32.Registry | Elapsed: 96ms | Delta: 5ms
dotnet watch 🔨 2025-03-29 14:58:32.448 [StartupProfiler] Assembly loaded: NuGet.Frameworks | Elapsed: 96ms | Delta: 0ms
dotnet watch 🔨 2025-03-29 14:58:32.462 [StartupProfiler] Assembly loaded: Microsoft.NET.Sdk.WorkloadMSBuildSdkResolver | Elapsed: 111ms | Delta: 15ms
dotnet watch 🔨 2025-03-29 14:58:32.464 [StartupProfiler] Assembly loaded: Microsoft.Build.NuGetSdkResolver | Elapsed: 112ms | Delta: 1ms
dotnet watch 🔨 2025-03-29 14:58:32.465 [StartupProfiler] Assembly loaded: NuGet.Common | Elapsed: 113ms | Delta: 1ms
dotnet watch 🔨 2025-03-29 14:58:32.465 [StartupProfiler] Assembly loaded: Microsoft.DotNet.Cli.Utils | Elapsed: 114ms | Delta: 1ms
dotnet watch 🔨 2025-03-29 14:58:32.465 [StartupProfiler] Assembly loaded: Microsoft.NET.Sdk.WorkloadManifestReader | Elapsed: 114ms | Delta: 0ms
dotnet watch 🔨 2025-03-29 14:58:32.466 [StartupProfiler] Assembly loaded: Microsoft.Deployment.DotNet.Releases | Elapsed: 114ms | Delta: 0ms
dotnet watch 🔨 2025-03-29 14:58:32.466 [StartupProfiler] Assembly loaded: System.Text.Json | Elapsed: 115ms | Delta: 1ms
dotnet watch 🔨 2025-03-29 14:58:32.477 [StartupProfiler] Assembly loaded: System.Numerics.Vectors | Elapsed: 126ms | Delta: 11ms
dotnet watch 🔨 2025-03-29 14:58:32.530 [StartupProfiler] Assembly loaded: Microsoft.Build.Utilities.Core | Elapsed: 179ms | Delta: 53ms
dotnet watch 🔨 2025-03-29 14:58:32.547 [StartupProfiler] Assembly loaded: System.Threading.Tasks.Parallel | Elapsed: 195ms | Delta: 16ms
dotnet watch 🔨 2025-03-29 14:58:32.586 [StartupProfiler] Assembly loaded: System.Reflection.Emit.Lightweight | Elapsed: 234ms | Delta: 39ms
dotnet watch 🔨 2025-03-29 14:58:32.586 [StartupProfiler] Assembly loaded: System.Reflection.Emit.ILGeneration | Elapsed: 235ms | Delta: 1ms
dotnet watch 🔨 2025-03-29 14:58:32.588 [StartupProfiler] Assembly loaded: System.Reflection.Primitives | Elapsed: 237ms | Delta: 2ms
dotnet watch 🔨 2025-03-29 14:58:32.749 [StartupProfiler] Assembly loaded: Microsoft.Build.Tasks.Core | Elapsed: 397ms | Delta: 160ms
dotnet watch 🔨 2025-03-29 14:58:32.752 [StartupProfiler] Assembly loaded: System.Threading.ThreadPool | Elapsed: 401ms | Delta: 4ms
dotnet watch 🔨 2025-03-29 14:58:32.866 [StartupProfiler] Assembly loaded: NuGet.Build.Tasks | Elapsed: 515ms | Delta: 114ms
dotnet watch 🔨 2025-03-29 14:58:32.866 [StartupProfiler] Assembly loaded: NuGet.Common | Elapsed: 515ms | Delta: 0ms
dotnet watch 🔨 2025-03-29 14:58:32.866 [StartupProfiler] Assembly loaded: NuGet.Commands | Elapsed: 515ms | Delta: 0ms
dotnet watch 🔨 2025-03-29 14:58:32.867 [StartupProfiler] Assembly loaded: NuGet.ProjectModel | Elapsed: 515ms | Delta: 0ms
dotnet watch 🔨   Determining projects to restore...
dotnet watch 🔨 2025-03-29 14:58:32.905 [StartupProfiler] Assembly loaded: Microsoft.NET.Build.Tasks | Elapsed: 554ms | Delta: 39ms
dotnet watch 🔨 2025-03-29 14:58:32.912 [StartupProfiler] Assembly loaded: NuGet.Frameworks | Elapsed: 560ms | Delta: 6ms
dotnet watch 🔨 2025-03-29 14:58:32.928 [StartupProfiler] Assembly loaded: Microsoft.Deployment.DotNet.Releases | Elapsed: 576ms | Delta: 16ms
dotnet watch 🔨 2025-03-29 14:58:32.933 [StartupProfiler] Assembly loaded: NuGet.Configuration | Elapsed: 582ms | Delta: 6ms
dotnet watch 🔨 2025-03-29 14:58:32.934 [StartupProfiler] Assembly loaded: System.Xml.XDocument | Elapsed: 583ms | Delta: 1ms
dotnet watch 🔨 2025-03-29 14:58:32.934 [StartupProfiler] Assembly loaded: System.Private.Xml.Linq | Elapsed: 583ms | Delta: 0ms
dotnet watch 🔨 2025-03-29 14:58:32.967 [StartupProfiler] Assembly loaded: NuGet.Packaging | Elapsed: 616ms | Delta: 33ms
dotnet watch 🔨 2025-03-29 14:58:32.968 [StartupProfiler] Assembly loaded: NuGet.LibraryModel | Elapsed: 616ms | Delta: 0ms
dotnet watch 🔨 2025-03-29 14:58:32.968 [StartupProfiler] Assembly loaded: NuGet.Versioning | Elapsed: 617ms | Delta: 1ms
dotnet watch 🔨 2025-03-29 14:58:32.969 [StartupProfiler] Assembly loaded: NuGet.Frameworks | Elapsed: 618ms | Delta: 1ms
dotnet watch 🔨 2025-03-29 14:58:32.984 [StartupProfiler] Assembly loaded: System.Buffers | Elapsed: 633ms | Delta: 15ms
dotnet watch 🔨 2025-03-29 14:58:32.990 [StartupProfiler] Assembly loaded: NuGet.Protocol | Elapsed: 639ms | Delta: 6ms
dotnet watch 🔨 2025-03-29 14:58:32.991 [StartupProfiler] Assembly loaded: NuGet.Credentials | Elapsed: 639ms | Delta: 0ms
dotnet watch 🔨 2025-03-29 14:58:32.993 [StartupProfiler] Assembly loaded: System.Formats.Asn1 | Elapsed: 642ms | Delta: 3ms
dotnet watch 🔨 2025-03-29 14:58:32.995 [StartupProfiler] Assembly loaded: System.Runtime.Numerics | Elapsed: 643ms | Delta: 1ms
dotnet watch 🔨 2025-03-29 14:58:33.079 [StartupProfiler] Assembly loaded: NuGet.DependencyResolver.Core | Elapsed: 727ms | Delta: 84ms
